timestamp_utc,portal_id,status_code,latency_ms,up
2026-09-01T00:07:30Z,upsc,0,10622,0
2026-09-01T00:07:30Z,ssc,200,1013,1
2026-09-01T00:07:30Z,nta,200,11402,1
2026-09-01T00:07:30Z,ibps,0,889,0
2026-09-01T00:07:30Z,rrb,0,552,0
2026-09-01T00:07:30Z,rrb_apply,404,1107,0
2026-09-01T00:07:30Z,indiapost_gds,0,1349,0
2026-09-01T00:07:30Z,rbi,200,966,1
2026-09-01T00:07:30Z,sbi,200,1619,1
2026-09-01T00:07:30Z,uppsc,404,1261,0
2026-09-01T00:07:30Z,upsssc,0,10272,0
2026-09-01T00:07:30Z,bpsc,0,1021,0
2026-09-01T00:07:30Z,mppsc,403,1291,0
2026-09-01T00:07:30Z,rpsc,0,10301,0
2026-09-01T00:07:30Z,mpsc,200,705,1
2026-09-01T00:07:30Z,tnpsc,0,10488,0
2026-09-01T00:07:30Z,wbpsc,200,1640,1
2026-09-01T05:19:55Z,upsc,0,10281,0
2026-09-01T05:19:55Z,ssc,200,1172,1
2026-09-01T05:19:55Z,nta,200,11501,1
2026-09-01T05:19:55Z,ibps,0,908,0
2026-09-01T05:19:55Z,rrb,0,553,0
2026-09-01T05:19:55Z,rrb_apply,404,1103,0
2026-09-01T05:19:55Z,indiapost_gds,0,982,0
2026-09-01T05:19:55Z,rbi,200,939,1
2026-09-01T05:19:55Z,sbi,200,1937,1
2026-09-01T05:19:55Z,uppsc,404,1853,0
2026-09-01T05:19:55Z,upsssc,0,10304,0
2026-09-01T05:19:55Z,bpsc,0,758,0
2026-09-01T05:19:55Z,mppsc,403,943,0
2026-09-01T05:19:55Z,rpsc,0,10285,0
2026-09-01T05:19:55Z,mpsc,200,749,1
2026-09-01T05:19:55Z,tnpsc,0,10279,0
2026-09-01T05:19:55Z,wbpsc,200,1410,1
2026-09-01T10:15:00Z,upsc,0,10258,0
2026-09-01T10:15:00Z,ssc,200,1019,1
2026-09-01T10:15:00Z,nta,200,11663,1
2026-09-01T10:15:00Z,ibps,0,673,0
2026-09-01T10:15:00Z,rrb,0,571,0
2026-09-01T10:15:00Z,rrb_apply,404,1113,0
2026-09-01T10:15:00Z,indiapost_gds,0,926,0
2026-09-01T10:15:00Z,rbi,200,1199,1
2026-09-01T10:15:00Z,sbi,200,2173,1
2026-09-01T10:15:00Z,uppsc,404,1252,0
2026-09-01T10:15:00Z,upsssc,0,10280,0
2026-09-01T10:15:00Z,bpsc,0,780,0
2026-09-01T10:15:00Z,mppsc,403,1324,0
2026-09-01T10:15:00Z,rpsc,0,10292,0
2026-09-01T10:15:00Z,mpsc,200,708,1
2026-09-01T10:15:00Z,tnpsc,0,10262,0
2026-09-01T10:15:00Z,wbpsc,200,1359,1
2026-09-01T14:58:18Z,upsc,0,10540,0
2026-09-01T14:58:18Z,ssc,200,1298,1
2026-09-01T14:58:18Z,nta,200,11554,1
2026-09-01T14:58:18Z,ibps,0,945,0
2026-09-01T14:58:18Z,rrb,0,559,0
2026-09-01T14:58:18Z,rrb_apply,404,1128,0
2026-09-01T14:58:18Z,indiapost_gds,0,899,0
2026-09-01T14:58:18Z,rbi,200,1165,1
2026-09-01T14:58:18Z,sbi,200,4900,1
2026-09-01T14:58:18Z,uppsc,404,1247,0
2026-09-01T14:58:18Z,upsssc,0,10279,0
2026-09-01T14:58:18Z,bpsc,0,1980,0
2026-09-01T14:58:18Z,mppsc,403,1052,0
2026-09-01T14:58:18Z,rpsc,0,10303,0
2026-09-01T14:58:18Z,mpsc,200,715,1
2026-09-01T14:58:18Z,tnpsc,0,10497,0
2026-09-01T14:58:18Z,wbpsc,200,1351,1
2026-09-01T18:24:08Z,upsc,0,10480,0
2026-09-01T18:24:08Z,ssc,200,1257,1
2026-09-01T18:24:08Z,nta,200,11588,1
2026-09-01T18:24:08Z,ibps,0,890,0
2026-09-01T18:24:08Z,rrb,0,459,0
2026-09-01T18:24:08Z,rrb_apply,404,1250,0
2026-09-01T18:24:08Z,indiapost_gds,0,736,0
2026-09-01T18:24:08Z,rbi,200,1396,1
2026-09-01T18:24:08Z,sbi,200,2450,1
2026-09-01T18:24:08Z,uppsc,404,1230,0
2026-09-01T18:24:08Z,upsssc,0,10301,0
2026-09-01T18:24:08Z,bpsc,0,808,0
2026-09-01T18:24:08Z,mppsc,403,1013,0
2026-09-01T18:24:08Z,rpsc,0,10290,0
2026-09-01T18:24:08Z,mpsc,200,733,1
2026-09-01T18:24:08Z,tnpsc,0,10281,0
2026-09-01T18:24:08Z,wbpsc,200,1757,1
2026-09-01T21:17:06Z,upsc,0,10255,0
2026-09-01T21:17:06Z,ssc,200,1057,1
2026-09-01T21:17:06Z,nta,200,6341,1
2026-09-01T21:17:06Z,ibps,0,924,0
2026-09-01T21:17:06Z,rrb,0,482,0
2026-09-01T21:17:06Z,rrb_apply,404,1105,0
2026-09-01T21:17:06Z,indiapost_gds,0,973,0
2026-09-01T21:17:06Z,rbi,200,2083,1
2026-09-01T21:17:06Z,sbi,200,1176,1
