timestamp_utc,portal_id,status_code,latency_ms,up
2026-08-01T01:19:27Z,upsc,0,10494,0
2026-08-01T01:19:27Z,ssc,200,1211,1
2026-08-01T01:19:27Z,nta,200,1595,1
2026-08-01T01:19:27Z,ibps,0,897,0
2026-08-01T01:19:27Z,rrb,0,500,0
2026-08-01T01:19:27Z,rrb_apply,404,1120,0
2026-08-01T01:19:27Z,indiapost_gds,0,1049,0
2026-08-01T01:19:27Z,rbi,200,1056,1
2026-08-01T01:19:27Z,sbi,200,2006,1
2026-08-01T01:19:27Z,uppsc,404,1282,0
2026-08-01T01:19:27Z,upsssc,0,10265,0
2026-08-01T01:19:27Z,bpsc,0,741,0
2026-08-01T01:19:27Z,mppsc,403,1243,0
2026-08-01T01:19:27Z,rpsc,0,10276,0
2026-08-01T01:19:27Z,mpsc,200,711,1
2026-08-01T01:19:27Z,tnpsc,0,10264,0
2026-08-01T01:19:27Z,wbpsc,0,976,0
